Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
49248,"94,682.05","94,682.05",6/15/2012
42011,"3,820.30","3,820.30",6/15/2012
42011,"29,488.35","29,488.35",6/15/2012
49702,"2,000.00","2,000.00",6/15/2012
49521,"6,118.85","6,118.85",6/15/2012
49597,"3,000.00","3,000.00",6/15/2012
49597,"2,000.00","2,000.00",6/15/2012
49575,"19,597.50","19,597.50",6/15/2012
49578,"3,244.76","3,244.76",6/15/2012
49576,"1,887.48","1,887.48",6/15/2012
49477,"7,103.57","7,103.57",6/15/2012
49550,"28,721.32","28,721.32",6/15/2012
49539,501.80,501.80,6/15/2012
49623,"1,182.00","1,182.00",6/15/2012
49536,"4,333.34","4,333.34",6/15/2012
49566,"4,112.50","4,112.50",6/15/2012
49546,"170,430.09","170,430.09",6/18/2012
37975,"5,000.00","5,000.00",6/18/2012
49448,"5,000.00","5,000.00",6/18/2012
494936,155.25,155.25,6/19/2012
49735,"16,496.25","16,496.25",6/20/2012
49615,"17,000.00","17,000.00",6/21/2012
49370,"5,500.00","5,500.00",6/25/2012
42048,"11,205.21","11,205.21",6/25/2012
49599,"4,000.00","4,000.00",6/25/2012
49694,486.00,486.00,6/25/2012
47390,"39,961.60","39,961.60",6/25/2012
49611,835.98,835.98,6/27/2012
49611,"24,361.25","24,361.25",6/27/2012
49614,"1,000.00","1,000.00",6/27/2012
49614,"6,000.00","6,000.00",6/27/2012
49614,"8,750.00","8,750.00",6/27/2012
49566,"6,575.00","6,575.00",6/27/2012
49673,"7,042.94","7,042.94",6/27/2012
49653,"2,000.00","2,000.00",6/27/2012
49653,"1,000.00","1,000.00",6/27/2012
49653,"4,000.00","4,000.00",6/27/2012
49680,"1,000.00","1,000.00",6/27/2012
47794,"70,000.00","70,000.00",6/27/2012
47794,"70,000.00","70,000.00",6/27/2012
49694,"2,282.00","2,282.00",6/28/2012
49053,"10,312.50","10,312.50",6/28/2012
48739,"6,131.62","6,131.62",6/28/2012
49246,"26,606.85","26,606.85",6/28/2012
49483,"17,405.00","17,405.00",7/2/2012
494928,"49,109.00","49,109.00",7/2/2012
48830,"28,090.11","28,090.11",7/2/2012
49603,"27,275.00","27,275.00",7/3/2012
49603,"20,677.00","20,677.00",7/3/2012
42011,"15,371.60","15,371.60",7/3/2012
43457,"16,260.50","16,260.50",7/6/2012
494936,128.15,128.15,7/6/2012
49728,"45,516.52","45,516.52",7/6/2012
494979,972.63,972.63,7/6/2012
494961,"1,030.17","1,030.17",7/6/2012
47704,376.00,376.00,7/9/2012
49498,"28,581.00","28,581.00",7/10/2012
49542,"5,000.00","5,000.00",7/10/2012
49613,"8,491.05","8,491.05",7/10/2012
49578,"4,104.00","4,104.00",7/10/2012
49539,"1,864.86","1,864.86",7/10/2012
49467,144.00,144.00,7/10/2012
49467,"1,000.00","1,000.00",7/10/2012
49467,101.00,101.00,7/10/2012
49600,"7,000.00","7,000.00",7/10/2012
49528,"5,141.31","5,141.31",7/10/2012
48970,"141,496.79","141,496.79",7/10/2012
48970,"435,469.75","435,469.75",7/10/2012
49729,"9,000.00","9,000.00",7/10/2012
44835,"90,029.37","90,029.37",7/10/2012
49187,"11,995.18","11,995.18",7/11/2012
48102,"21,356.00","21,356.00",7/11/2012
48102,"5,339.00","5,339.00",7/11/2012
48768,393.09,393.09,7/11/2012
42822,"7,555.66","7,555.66",7/12/2012
494928,"34,927.00","34,927.00",7/12/2012
